dane_institucion	anio	grado_codigo	grado_nombre	nivel_educativo	cantidad_estudiantes
INST_9	2024	9	Noveno	Secundaria	68
INST_9	2024	10	Décimo	Media	57
INST_9	2024	11	Once	Media	44
INST_10	2024	PJ	Prejardín	Preescolar	0
INST_10	2024	J	Jardín	Preescolar	0
INST_10	2024	T	Transición	Preescolar	16
INST_10	2024	1	Primero	Primaria	50
INST_10	2024	2	Segundo	Primaria	41
INST_10	2024	3	Tercero	Primaria	52
INST_10	2024	4	Cuarto	Primaria	36
INST_10	2024	5	Quinto	Primaria	43
INST_10	2024	6	Sexto	Secundaria	56
INST_10	2024	7	Séptimo	Secundaria	63
INST_10	2024	8	Octavo	Secundaria	49
INST_10	2024	9	Noveno	Secundaria	48
INST_10	2024	10	Décimo	Media	36
INST_10	2024	11	Once	Media	48
INST_11	2024	PJ	Prejardín	Preescolar	0
INST_11	2024	J	Jardín	Preescolar	24
INST_11	2024	T	Transición	Preescolar	24
INST_11	2024	1	Primero	Primaria	31
INST_11	2024	2	Segundo	Primaria	32
INST_11	2024	3	Tercero	Primaria	57
INST_11	2024	4	Cuarto	Primaria	36
INST_11	2024	5	Quinto	Primaria	35
INST_11	2024	6	Sexto	Secundaria	34
INST_11	2024	7	Séptimo	Secundaria	67
INST_11	2024	8	Octavo	Secundaria	39
INST_11	2024	9	Noveno	Secundaria	55
INST_11	2024	10	Décimo	Media	34
INST_11	2024	11	Once	Media	40
INST_12	2024	PJ	Prejardín	Preescolar	0
INST_12	2024	J	Jardín	Preescolar	18
INST_12	2024	T	Transición	Preescolar	15
INST_12	2024	1	Primero	Primaria	28
INST_12	2024	2	Segundo	Primaria	27
INST_12	2024	3	Tercero	Primaria	34
INST_12	2024	4	Cuarto	Primaria	36
INST_12	2024	5	Quinto	Primaria	23
INST_12	2024	6	Sexto	Secundaria	29
INST_12	2024	7	Séptimo	Secundaria	37
INST_12	2024	8	Octavo	Secundaria	36
INST_12	2024	9	Noveno	Secundaria	38
INST_12	2024	10	Décimo	Media	23
INST_12	2024	11	Once	Media	23
INST_13	2024	PJ	Prejardín	Preescolar	0
INST_13	2024	J	Jardín	Preescolar	0
INST_13	2024	T	Transición	Preescolar	18
INST_13	2024	1	Primero	Primaria	26
INST_13	2024	2	Segundo	Primaria	19
INST_13	2024	3	Tercero	Primaria	24
INST_13	2024	4	Cuarto	Primaria	12
INST_13	2024	5	Quinto	Primaria	21
INST_13	2024	6	Sexto	Secundaria	30
INST_13	2024	7	Séptimo	Secundaria	25
INST_13	2024	8	Octavo	Secundaria	21
INST_13	2024	9	Noveno	Secundaria	20
INST_13	2024	10	Décimo	Media	20
INST_13	2024	11	Once	Media	18
INST_14	2024	PJ	Prejardín	Preescolar	0
INST_14	2024	J	Jardín	Preescolar	0
INST_14	2024	T	Transición	Preescolar	40
INST_14	2024	1	Primero	Primaria	60
INST_14	2024	2	Segundo	Primaria	62
INST_14	2024	3	Tercero	Primaria	49
INST_14	2024	4	Cuarto	Primaria	50
INST_14	2024	5	Quinto	Primaria	55
INST_14	2024	6	Sexto	Secundaria	50
INST_14	2024	7	Séptimo	Secundaria	68
INST_14	2024	8	Octavo	Secundaria	63
INST_14	2024	9	Noveno	Secundaria	51
INST_14	2024	10	Décimo	Media	48
INST_14	2024	11	Once	Media	61
INST_15	2024	PJ	Prejardín	Preescolar	0
INST_15	2024	J	Jardín	Preescolar	0
INST_15	2024	T	Transición	Preescolar	24
INST_15	2024	1	Primero	Primaria	30
INST_15	2024	2	Segundo	Primaria	37
INST_15	2024	3	Tercero	Primaria	53
INST_15	2024	4	Cuarto	Primaria	41
INST_15	2024	5	Quinto	Primaria	35
INST_15	2024	6	Sexto	Secundaria	54
INST_15	2024	7	Séptimo	Secundaria	58
INST_15	2024	8	Octavo	Secundaria	50
